_id,popularity,duration,acousticness,danceability,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,timeSignature,valence,_class,spotUrl,ytUrl._id,ytUrl.LinkName,ytUrl.type,ytUrl.url,dlink._id,dlink.LinkName,dlink.type,dlink.url,lyric._id,lyric.LinkName,lyric.type,lyric.url,artInfo._id,artInfo.LinkName,artInfo.type,artInfo.url,albInfo._id,albInfo.LinkName,albInfo.type,albInfo.url
Closer,86,244960,0.414000004529953,0.7480000257492065,0.5239999890327454,0,8,0.11100000143051147,-5.598999977111816,1,0.033799998462200165,95.01000213623047,4,0.6610000133514404,dev.eshanM.Musik.Song,64e092f2aea7d56b2f15417b,64e092f2aea7d56b2f15417c,Youtube,yt,null,64e092f2aea7d56b2f15417d,Download : 9x,dlink,null,64e092f3aea7d56b2f15417e,Lyrics : Genius,lyric,null,64e092f3aea7d56b2f15417f,The Chainsmokers,artInfo,https://open.spotify.com/artist/69GGBxA162lTqCwzJG5jLp,64e092f3aea7d56b2f154180,Closer,albInfo,https://open.spotify.com/album/0rSLgV8p5FzfnqlEk4GzxE
Starboy,92,230453,0.14100000262260437,0.6790000200271606,0.5870000123977661,0.000006350000148813706,7,0.13699999451637268,-7.014999866485596,1,0.2759999930858612,186.0030059814453,4,0.4860000014305115,dev.eshanM.Musik.Song,64e09316aea7d56b2f1541cf,64e09316aea7d56b2f1541d0,Youtube,yt,null,64e09316aea7d56b2f1541d1,Download : 9x,dlink,null,64e09316aea7d56b2f1541d2,Lyrics : Genius,lyric,null,64e09316aea7d56b2f1541d3,The Weeknd,artInfo,https://open.spotify.com/artist/1Xyo4u8uXC1ZmMpatF05PJ,64e09317aea7d56b2f1541d4,Starboy,albInfo,https://open.spotify.com/album/2ODvWsOgouMbaA5xf0RkJe
Perfect,90,263400,0.16300000250339508,0.5989999771118164,0.4480000138282776,0,8,0.10599999874830246,-6.311999797821045,1,0.02319999970495701,95.05000305175781,3,0.1679999977350235,dev.eshanM.Musik.Song,64e09475aea7d56b2f1543f7,64e09476aea7d56b2f1543f8,Youtube,yt,null,64e09476aea7d56b2f1543f9,Download : 9x,dlink,null,64e09476aea7d56b2f1543fa,Lyrics : Genius,lyric,null,64e09476aea7d56b2f1543fb,Ed Sheeran,artInfo,https://open.spotify.com/artist/6eUKZXaKkcviH0Ku9w2n3V,64e09476aea7d56b2f1543fc,÷ (Deluxe),albInfo,https://open.spotify.com/album/3T4tUhGYeRNVUGevb0wThu
Heat Waves,91,238805,0.4399999976158142,0.7609999775886536,0.5249999761581421,0.00000670000008540228,11,0.09210000187158585,-6.900000095367432,1,0.09440000355243683,80.87000274658203,4,0.531000018119812,dev.eshanM.Musik.Song,64e0946aaea7d56b2f1543d3,64e0946aaea7d56b2f1543d4,Youtube,yt,null,64e0946aaea7d56b2f1543d5,Download : 9x,dlink,null,64e0946aaea7d56b2f1543d6,Lyrics : Genius,lyric,null,64e0946aaea7d56b2f1543d7,Glass Animals,artInfo,https://open.spotify.com/artist/4yvcSjfu4PC0CYQyLy4wSq,64e0946baea7d56b2f1543d8,Dreamland,albInfo,https://open.spotify.com/album/5bfpRtBW7RNRdsm3tRyl3R
As It Was,91,167303,0.34200000762939453,0.5199999809265137,0.7310000061988831,0.0010100000072270632,6,0.3109999895095825,-5.3379998207092285,0,0.05570000037550926,173.92999267578125,4,0.6620000004768372,dev.eshanM.Musik.Song,64e076b8aea7d56b2f153a19,64e076b8aea7d56b2f153a1a,Youtube,yt,null,64e076b8aea7d56b2f153a1b,Download : 9x,dlink,null,64e076b8aea7d56b2f153a1c,Lyrics : Genius,lyric,null,64e076b8aea7d56b2f153a1d,Harry Styles,artInfo,https://open.spotify.com/artist/6KImCVD70vtIoJWnq6nGn3,64e076b9aea7d56b2f153a1e,As It Was,albInfo,https://open.spotify.com/album/2pqdSWeJVsXAhHFuVLzuA8
Señorita,82,190800,0.03920000046491623,0.7590000033378601,0.5479999780654907,0,9,0.0828000009059906,-6.048999786376953,0,0.028999999165534973,116.96700286865234,4,0.7490000128746033,dev.eshanM.Musik.Song,64e0930faea7d56b2f1541c3,64e09310aea7d56b2f1541c4,Youtube,yt,null,64e09310aea7d56b2f1541c5,Download : 9x,dlink,null,64e09310aea7d56b2f1541c6,Lyrics : Genius,lyric,null,64e09310aea7d56b2f1541c7,Shawn Mendes,artInfo,https://open.spotify.com/artist/7n2wHs1TKAczGzO7Dd2rGr,64e09311aea7d56b2f1541c8,Shawn Mendes (Deluxe),albInfo,https://open.spotify.com/album/0xzScN8P3hQAz3BT3YYX5w
Say You Won't Let Go,88,211467,0.6949999928474426,0.3580000102519989,0.5569999814033508,0,10,0.09019999951124191,-7.3979997634887695,1,0.05900000035762787,85.04299926757812,4,0.49399998784065247,dev.eshanM.Musik.Song,64e092ffaea7d56b2f15419f,64e09300aea7d56b2f1541a0,Youtube,yt,null,64e09300aea7d56b2f1541a1,Download : 9x,dlink,null,64e09300aea7d56b2f1541a2,Lyrics : Genius,lyric,null,64e09300aea7d56b2f1541a3,James Arthur,artInfo,https://open.spotify.com/artist/4IWBUUAFIplrNtaOHcJPRM,64e09301aea7d56b2f1541a4,Back from the Edge,albInfo,https://open.spotify.com/album/7oiJYvEJHsmYtrgviAVIBD
lovely (with Khalid),90,200186,0.9340000152587891,0.35100001096725464,0.29600000381469727,0,4,0.0949999988079071,-10.109000205993652,0,0.0333000011742115,115.28399658203125,4,0.11999999731779099,dev.eshanM.Musik.Song,64e09474aea7d56b2f1543f1,64e09474aea7d56b2f1543f2,Youtube,yt,null,64e09474aea7d56b2f1543f3,Download : 9x,dlink,null,64e09474aea7d56b2f1543f4,Lyrics : Genius,lyric,null,64e09474aea7d56b2f1543f5,Billie Eilish,artInfo,https://open.spotify.com/artist/6qqNVTkY8uBg9cP3Jd7DAH,64e09474aea7d56b2f1543f6,lovely (with Khalid),albInfo,https://open.spotify.com/album/2sBB17RXTamvj7Ncps15AK
Watermelon Sugar,90,174000,0.12200000137090683,0.5479999780654907,0.8159999847412109,0,0,0.33500000834465027,-4.209000110626221,1,0.04650000110268593,95.38999938964844,4,0.5569999814033508,dev.eshanM.Musik.Song,64e09470aea7d56b2f1543e5,64e09470aea7d56b2f1543e6,Youtube,yt,null,64e09470aea7d56b2f1543e7,Download : 9x,dlink,null,64e09470aea7d56b2f1543e8,Lyrics : Genius,lyric,null,64e09471aea7d56b2f1543e9,Harry Styles,artInfo,https://open.spotify.com/artist/6KImCVD70vtIoJWnq6nGn3,64e09471aea7d56b2f1543ea,Fine Line,albInfo,https://open.spotify.com/album/7xV2TzoaVc0ycW7fwBwAml
bad guy,85,194088,0.328000009059906,0.7009999752044678,0.42500001192092896,0.12999999523162842,7,0.10000000149011612,-10.96500015258789,1,0.375,135.1280059814453,4,0.5619999766349792,dev.eshanM.Musik.Song,64e094cbaea7d56b2f1544ff,64e094cbaea7d56b2f154500,Youtube,yt,null,64e094ccaea7d56b2f154501,Download : 9x,dlink,null,64e094ccaea7d56b2f154502,Lyrics : Genius,lyric,null,64e094ccaea7d56b2f154503,Billie Eilish,artInfo,https://open.spotify.com/artist/6qqNVTkY8uBg9cP3Jd7DAH,64e094ccaea7d56b2f154504,"WHEN WE ALL FALL ASLEEP, WHERE DO WE GO?",albInfo,https://open.spotify.com/album/0S0KGZnfBGSIssfF54WSJh
